X,Y,U,V
157,502,-5.6228886,-7.411694
162,502,-8.029991,-0.19934909
167,502,-8.824209,0.23025572
172,502,-9.919696,0.27107677
42,507,11.0,-9.783453
87,507,-7.5777383,0.15784968
92,507,-7.473091,0.18797964
112,507,-9.935095,1.8573242
117,507,-6.801478,1.1206975
142,507,-6.34956,0.2489294
162,507,-6.9951215,-3.672671
167,507,-8.349339,-0.28294572
172,507,-9.451543,0.2319735
177,507,-8.964089,0.06763205
42,512,10.374425,-9.246228
47,512,10.488683,-9.136925
52,512,-8.248954,4.5304713
57,512,-8.187541,4.1444783
62,512,-6.140638,3.3721778
67,512,-6.0730286,5.1120834
77,512,7.18515,0.8150408
82,512,-6.514501,0.2031523
87,512,-7.6587915,0.11220003
92,512,-8.125193,0.07223874
112,512,-9.902932,1.8028703
142,512,-6.9856925,2.6212692
147,512,-3.0773156,9.604711
152,512,-0.3543349,10.385159
162,512,-7.466481,-0.3616678
167,512,-7.7987647,-0.33762288
172,512,0.19386347,10.2994175
177,512,-0.050185878,8.992183
12,517,0.18309572,8.048471
17,517,-11.301376,-0.3118084
22,517,-9.440001,-1.2756468
37,517,-8.771777,6.5598097
42,517,-8.867978,7.5254474
52,517,-8.217203,5.8252053
57,517,-8.1459255,6.1837134
62,517,-6.9820213,6.9614234
67,517,-6.005234,6.73474
72,517,6.963778,-0.77821136
77,517,7.5379844,0.28887165
82,517,-6.432321,0.20338109
87,517,-6.7931085,0.30177686
92,517,-7.0004706,0.3341605
142,517,-7.4596887,2.9673095
162,517,-7.405771,-0.2462213
167,517,-6.6394506,-0.29057524
172,517,-8.419902,-0.15412231
12,522,0.24189007,6.8285284
17,522,0.44845793,7.155348
32,522,-7.8312454,3.5480175
37,522,-8.619765,4.997255
42,522,-8.519927,6.570014
52,522,-8.739035,4.2485495
57,522,-8.301396,4.801274
62,522,-7.7595096,4.2453823
67,522,-6.59183,5.912604
77,522,7.5530953,2.1686735
82,522,-7.5073843,2.9725544
87,522,-7.969772,3.9155698
92,522,-6.742348,2.6655717
102,522,-7.667039,1.0581427
122,522,0.043809738,-7.4343653
137,522,-7.5562334,1.5946552
142,522,-6.884732,1.9746089
162,522,-7.704202,0.33441657
167,522,0.18925062,7.8353972
172,522,-7.886717,0.32414636
257,522,-6.1408663,0.08520096
262,522,-12.0,0.15816258
267,522,-12.0,0.1706487
17,527,-7.52337,6.248822
32,527,-8.227304,3.0790248
37,527,-8.544037,3.578702
42,527,-8.281858,4.157722
52,527,-8.930543,1.3692782
57,527,-8.15989,3.504198
62,527,-8.203527,3.3528333
67,527,-7.7739434,3.8235118
77,527,7.31302,4.476204
82,527,-6.5142303,2.2476554
87,527,-7.993732,3.1950307
92,527,-7.3918133,2.7084599
97,527,-5.626793,2.3201685
102,527,-7.7182026,2.159512
107,527,-9.621552,1.6313096
127,527,7.2911944,-5.1395197
142,527,-6.6185226,1.668524
172,527,-7.684954,1.4469954
217,527,9.534998,-12.0
262,527,-10.517904,0.22139712
267,527,-12.0,0.3829965
272,527,-12.0,0.31008682
17,532,-6.807919,4.024542
32,532,-7.9088073,1.6411295
37,532,-8.208372,2.8047326
42,532,-7.9666967,3.2192597
52,532,-8.047757,2.8020446
57,532,-8.110228,2.848652
62,532,-8.209669,2.524
67,532,-8.236109,2.309084
72,532,-8.274751,0.3542119
87,532,-7.524278,2.3758202
92,532,-7.3838506,1.8786811
97,532,-6.2017865,1.1324717
102,532,-7.759967,1.128983
107,532,-7.47344,0.28177145
122,532,-9.433599,2.3061104
132,532,7.3888702,0.17763819
137,532,8.795607,-0.16625264
152,532,-7.978489,1.783971
157,532,-8.308407,1.7433897
162,532,-7.835231,2.0501647
192,532,-8.0786705,0.27900383
197,532,-0.3488271,7.9452233
